eventdatetime,customername,address,city,state,zip,productname
2020-02-26T09:40:40.1275142-06:00,idicustomer 82,1435 Lake cook rd,deerfield,IL,60015,product 82
2020-02-26T09:40:36.1998132-06:00,idicustomer 27,1435 Lake cook rd,deerfield,IL,60015,product 27
2020-02-26T09:40:34.2021139-06:00,idicustomer 1,1435 Lake cook rd,deerfield,IL,60015,product 1
2020-02-26T09:40:38.0479241-06:00,idicustomer 52,1435 Lake cook rd,deerfield,IL,60015,product 52
2020-02-26T09:40:38.40437-06:00,idicustomer 57,1435 Lake cook rd,deerfield,IL,60015,product 57
2020-02-26T09:40:36.94931-06:00,idicustomer 37,1435 Lake cook rd,deerfield,IL,60015,product 37
2020-02-26T09:40:37.2710371-06:00,idicustomer 42,1435 Lake cook rd,deerfield,IL,60015,product 42
2020-02-26T09:40:35.7868394-06:00,idicustomer 22,1435 Lake cook rd,deerfield,IL,60015,product 22
2020-02-26T09:40:40.1872374-06:00,idicustomer 83,1435 Lake cook rd,deerfield,IL,60015,product 83
2020-02-26T09:40:36.2555711-06:00,idicustomer 28,1435 Lake cook rd,deerfield,IL,60015,product 28
2020-02-26T09:40:34.270784-06:00,idicustomer 2,1435 Lake cook rd,deerfield,IL,60015,product 2
2020-02-26T09:40:38.1149648-06:00,idicustomer 53,1435 Lake cook rd,deerfield,IL,60015,product 53
2020-02-26T09:40:38.4644416-06:00,idicustomer 58,1435 Lake cook rd,deerfield,IL,60015,product 58
2020-02-26T09:40:37.0058142-06:00,idicustomer 38,1435 Lake cook rd,deerfield,IL,60015,product 38
2020-02-26T09:40:37.3310027-06:00,idicustomer 43,1435 Lake cook rd,deerfield,IL,60015,product 43
2020-02-26T09:40:35.9218166-06:00,idicustomer 23,1435 Lake cook rd,deerfield,IL,60015,product 23
2020-02-26T09:40:40.254207-06:00,idicustomer 84,1435 Lake cook rd,deerfield,IL,60015,product 84
2020-02-26T09:40:36.3121013-06:00,idicustomer 29,1435 Lake cook rd,deerfield,IL,60015,product 29
2020-02-26T09:40:34.3265029-06:00,idicustomer 3,1435 Lake cook rd,deerfield,IL,60015,product 3
2020-02-26T09:40:38.1756919-06:00,idicustomer 54,1435 Lake cook rd,deerfield,IL,60015,product 54
2020-02-26T09:40:38.5214957-06:00,idicustomer 59,1435 Lake cook rd,deerfield,IL,60015,product 59
2020-02-26T09:40:37.0688154-06:00,idicustomer 39,1435 Lake cook rd,deerfield,IL,60015,product 39
2020-02-26T09:40:37.396975-06:00,idicustomer 44,1435 Lake cook rd,deerfield,IL,60015,product 44
2020-02-26T09:40:35.9896832-06:00,idicustomer 24,1435 Lake cook rd,deerfield,IL,60015,product 24
2020-02-26T09:40:40.3085287-06:00,idicustomer 85,1435 Lake cook rd,deerfield,IL,60015,product 85
2020-02-26T09:40:36.4422789-06:00,idicustomer 30,1435 Lake cook rd,deerfield,IL,60015,product 30
2020-02-26T09:40:34.393735-06:00,idicustomer 4,1435 Lake cook rd,deerfield,IL,60015,product 4
2020-02-26T09:40:38.2843964-06:00,idicustomer 55,1435 Lake cook rd,deerfield,IL,60015,product 55
2020-02-26T09:40:38.5983725-06:00,idicustomer 60,1435 Lake cook rd,deerfield,IL,60015,product 60
2020-02-26T09:40:37.1451088-06:00,idicustomer 40,1435 Lake cook rd,deerfield,IL,60015,product 40
2020-02-26T09:40:37.4527981-06:00,idicustomer 45,1435 Lake cook rd,deerfield,IL,60015,product 45
2020-02-26T09:40:36.0457366-06:00,idicustomer 25,1435 Lake cook rd,deerfield,IL,60015,product 25
2020-02-26T09:40:39.6847592-06:00,idicustomer 76,1435 Lake cook rd,deerfield,IL,60015,product 76
2020-02-26T09:40:41.0781972-06:00,idicustomer 96,1435 Lake cook rd,deerfield,IL,60015,product 96
2020-02-26T09:40:34.4898471-06:00,idicustomer 5,1435 Lake cook rd,deerfield,IL,60015,product 5
2020-02-26T09:40:37.5608482-06:00,idicustomer 46,1435 Lake cook rd,deerfield,IL,60015,product 46
2020-02-26T09:40:35.3480237-06:00,idicustomer 16,1435 Lake cook rd,deerfield,IL,60015,product 16
2020-02-26T09:40:39.7523749-06:00,idicustomer 77,1435 Lake cook rd,deerfield,IL,60015,product 77
2020-02-26T09:40:41.1455891-06:00,idicustomer 97,1435 Lake cook rd,deerfield,IL,60015,product 97
2020-02-26T09:40:37.6415955-06:00,idicustomer 47,1435 Lake cook rd,deerfield,IL,60015,product 47
2020-02-26T09:40:35.4588814-06:00,idicustomer 17,1435 Lake cook rd,deerfield,IL,60015,product 17
2020-02-26T09:40:39.864277-06:00,idicustomer 78,1435 Lake cook rd,deerfield,IL,60015,product 78
2020-02-26T09:40:41.201202-06:00,idicustomer 98,1435 Lake cook rd,deerfield,IL,60015,product 98
2020-02-26T09:40:37.7638224-06:00,idicustomer 48,1435 Lake cook rd,deerfield,IL,60015,product 48
2020-02-26T09:40:35.5377073-06:00,idicustomer 18,1435 Lake cook rd,deerfield,IL,60015,product 18
2020-02-26T09:40:39.9225266-06:00,idicustomer 79,1435 Lake cook rd,deerfield,IL,60015,product 79
2020-02-26T09:40:41.2551831-06:00,idicustomer 99,1435 Lake cook rd,deerfield,IL,60015,product 99
2020-02-26T09:40:37.8328095-06:00,idicustomer 49,1435 Lake cook rd,deerfield,IL,60015,product 49
2020-02-26T09:40:35.5962264-06:00,idicustomer 19,1435 Lake cook rd,deerfield,IL,60015,product 19
2020-02-26T09:40:40.0025195-06:00,idicustomer 80,1435 Lake cook rd,deerfield,IL,60015,product 80
2020-02-26T09:40:37.8891818-06:00,idicustomer 50,1435 Lake cook rd,deerfield,IL,60015,product 50
2020-02-26T09:40:35.6557456-06:00,idicustomer 20,1435 Lake cook rd,deerfield,IL,60015,product 20
